lat,lon,emission,cluster,cluster_ordered
36.1,5.8,120.547,0,0
43.0,-0.2,2686.4,2,1
47.0,8.7,2281.64,2,1
53.2,13.1,1174.59,0,0
53.1,-3.3,2096.89,2,1
46.8,10.9,439.542,0,0
56.6,22.9,2356.5,2,1
40.7,0.9,0.280396,0,0
46.0,2.2,1778.72,0,0
43.7,24.0,8908.19,3,3
45.9,8.2,1136.64,0,0
52.0,-9.3,620.54,0,0
54.5,18.3,11882.7,3,3
60.0,6.7,18.4449,0,0
53.5,18.2,3791.96,2,1
42.7,1.5,1007.62,0,0
48.3,6.3,9102.76,3,3
59.0,16.0,3408.39,2,1
44.3,22.6,5736.29,4,2
52.7,8.2,19418.3,1,4
37.5,25.7,0.775866,0,0
55.2,-3.7,93.704,0,0
43.9,1.8,7220.06,4,2
50.6,6.3,8912.83,3,3
41.7,15.5,785.993,0,0
34.8,-3.7,2174.39,2,1
36.5,-3.2,0.570977,0,0
50.4,1.5,9188.45,3,3
50.5,24.1,2802.91,2,1
36.5,5.2,43.9941,0,0
55.1,30.7,915.101,0,0
57.7,24.4,1092.91,0,0
48.3,28.4,3731.36,2,1
40.4,17.6,9108.77,3,3
45.0,0.6,2769.2,2,1
64.0,18.9,2.05119,0,0
55.9,28.5,0.292859,0,0
57.9,15.3,222.324,0,0
36.5,26.9,0.302944,0,0
62.0,30.2,284.223,0,0
52.2,6.7,12497.5,3,3
61.2,29.9,22.529,0,0
57.7,25.4,1445.7,0,0
42.4,3.1,9986.42,3,3
36.3,4.4,54.7939,0,0
51.3,1.2,2950.51,2,1
48.7,14.1,2798.11,2,1
64.1,14.0,142.309,0,0
36.8,28.0,8.83959,0,0
54.4,-5.5,4203.04,2,1
62.2,30.3,3670.6,2,1
42.7,-6.9,140.774,0,0
52.6,8.9,4181.31,2,1
55.9,-3.1,5746.18,4,2
40.4,-4.5,5775.53,4,2
53.3,23.4,4009.39,2,1
39.0,0.9,0.45659,0,0
52.6,23.8,648.154,0,0
42.6,0.0,161.709,0,0
53.5,-7.0,1139.45,0,0
38.7,27.5,9464.92,3,3
56.4,20.9,2457.72,2,1
66.2,17.1,588.318,0,0
55.4,9.8,13442.8,3,3
52.1,-2.9,3077.28,2,1
40.2,21.8,8381.41,4,2
61.5,6.9,173.914,0,0
48.6,8.2,1328.51,0,0
50.7,9.4,5471.91,4,2
48.6,20.5,6545.3,4,2
36.8,9.2,1516.8,0,0
40.3,25.1,0.275111,0,0
53.3,8.7,3709.66,2,1
47.9,-0.1,5889.47,4,2
48.8,7.6,14196.8,1,4
51.0,7.4,10304.6,3,3
39.8,16.0,2358.34,2,1
37.1,-7.9,5588.13,4,2
65.3,21.6,109.744,0,0
52.6,-0.8,4589.16,2,1
49.0,19.9,2640.15,2,1
42.5,13.1,2559.29,2,1
45.4,13.6,15701.2,1,4
46.3,11.0,19390.2,1,4
36.3,23.9,0.396332,0,0
67.1,15.6,69.5659,0,0
56.5,26.0,1029.16,0,0
39.1,-9.5,12.2379,0,0
48.6,14.9,6642.93,4,2
41.6,27.2,5662.7,4,2
56.2,24.2,2355.25,2,1
67.4,18.6,83.6081,0,0
37.2,22.1,560.303,0,0
43.3,13.1,6972.28,4,2
44.6,25.5,12247.8,3,3
36.5,7.1,52.0955,0,0
47.8,19.4,6007.54,4,2
60.7,29.3,41.787,0,0
54.9,24.7,1880.57,2,1
63.5,22.6,2740.04,2,1
39.4,-5.1,149.011,0,0
63.9,28.0,139.637,0,0
35.0,4.1,0.12762,0,0
50.0,15.5,12912.8,3,3
61.4,26.2,164.545,0,0
49.3,-1.2,4682.53,2,1
49.9,21.1,6668.61,4,2
37.7,-3.1,3008.95,2,1
48.6,5.7,5868.76,4,2
52.6,-1.7,10097.8,3,3
36.5,28.9,0.381389,0,0
60.5,5.7,671.754,0,0
39.7,3.2,4396.06,2,1
57.1,29.8,60.1873,0,0
66.8,18.0,83.9311,0,0
46.4,3.6,1777.77,0,0
39.3,-2.4,2664.4,2,1
47.2,5.6,4858.45,4,2
57.5,26.0,310.241,0,0
45.0,20.6,12304.8,3,3
54.6,-5.7,8764.56,3,3
57.3,13.7,11792.4,3,3
65.0,26.3,159.648,0,0
48.4,15.1,4450.71,2,1
48.9,30.5,2194.66,2,1
54.4,-1.0,1466.72,0,0
49.1,28.2,3394.83,2,1
45.9,0.3,1943.56,2,1
50.7,15.9,5112.69,4,2
48.5,15.8,10522.4,3,3
37.4,-3.3,867.816,0,0
38.8,-5.2,1131.65,0,0
46.0,20.0,6383.9,4,2
53.2,-3.5,9156.41,3,3
65.2,27.1,30.6249,0,0
65.5,28.3,75.0175,0,0
35.9,5.5,24.783,0,0
49.1,14.1,7532.78,4,2
52.6,24.0,387.487,0,0
41.0,17.4,0.356715,0,0
63.6,16.1,691.817,0,0
54.4,23.1,3802.04,2,1
58.9,28.8,82.8123,0,0
59.0,9.7,6917.77,4,2
59.1,28.0,1138.62,0,0
55.6,12.9,15630.5,1,4
46.9,-0.6,7373.1,4,2
58.8,11.5,1294.07,0,0
38.5,28.8,3803.14,2,1
38.4,-0.2,4.35468,0,0
35.7,9.1,904.349,0,0
36.5,-5.1,2970.28,2,1
54.6,27.4,2035.67,2,1
58.1,-6.4,173.278,0,0
59.4,22.8,4.05809,0,0
61.0,27.6,721.869,0,0
59.0,12.1,735.419,0,0
61.2,7.5,2665.43,2,1
49.8,10.5,3244.8,2,1
46.1,2.6,2924.77,2,1
57.2,23.2,37.3817,0,0
48.1,29.4,3866.6,2,1
59.1,5.3,251.344,0,0
54.0,23.1,1322.87,0,0
60.3,23.3,1891.09,2,1
51.7,-4.1,5541.26,4,2
42.0,25.3,6257.17,4,2
56.7,26.7,1257.1,0,0
39.2,21.5,872.426,0,0
41.7,16.1,706.156,0,0
45.3,0.6,5989.06,4,2
42.2,14.6,407.262,0,0
46.9,10.8,1325.83,0,0
49.1,22.2,82.476,0,0
62.0,17.1,300.472,0,0
65.6,11.8,331.302,0,0
43.3,18.2,629.542,0,0
39.5,8.9,10180.7,3,3
51.2,29.8,1132.94,0,0
47.6,2.5,5430.04,4,2
52.0,29.1,12722.0,3,3
51.2,14.0,7997.31,4,2
39.3,-9.9,0.577345,0,0
47.9,4.3,3288.24,2,1
36.1,-2.8,0.57029,0,0
52.3,-8.3,262.454,0,0
50.1,15.5,10481.2,3,3
48.7,19.0,1792.58,0,0
66.2,21.4,413.87,0,0
49.2,29.8,2801.04,2,1
35.0,6.9,9.538,0,0
62.0,12.1,314.699,0,0
43.0,21.0,1047.41,0,0
40.6,22.8,14424.7,1,4
36.1,3.2,162.983,0,0
58.9,17.1,822.36,0,0
61.0,16.5,188.709,0,0
42.1,-1.8,7866.42,4,2
54.2,12.6,2681.57,2,1
45.6,23.9,627.251,0,0
61.4,15.8,104.12,0,0
38.2,-3.9,54.9111,0,0
60.6,27.7,1588.77,0,0
45.3,14.5,13996.9,1,4
45.7,27.5,3236.34,2,1
43.3,-8.2,6214.38,4,2
47.3,26.4,8749.81,3,3
53.6,17.5,12538.6,3,3
68.7,27.7,3242.86,2,1
36.8,15.5,2.54438,0,0
37.4,27.7,871.072,0,0
70.3,26.4,356.548,0,0
50.2,17.9,5617.78,4,2
39.4,29.6,2838.42,2,1
37.2,-8.2,2342.76,2,1
56.0,13.2,7741.49,4,2
49.2,13.3,3298.19,2,1
44.8,9.7,6636.47,4,2
63.8,14.9,401.394,0,0
65.1,25.1,27.131,0,0
49.3,10.1,10232.2,3,3
46.0,21.6,4222.67,2,1
53.1,9.3,13071.3,3,3
56.0,21.8,2747.83,2,1
60.0,18.3,605.567,0,0
54.4,19.4,13.4569,0,0
52.3,21.6,3645.47,2,1
59.9,29.7,1292.85,0,0
39.6,19.9,2738.62,2,1
56.3,26.3,3184.14,2,1
51.9,25.7,271.758,0,0
57.8,24.4,152.917,0,0
51.5,14.0,8841.51,3,3
40.1,-5.0,1031.76,0,0
51.9,19.2,12882.4,3,3
35.1,3.5,0.107532,0,0
48.1,8.4,17380.8,1,4
68.8,20.0,244.749,0,0
42.1,22.4,504.01,0,0
62.7,13.7,395.008,0,0
45.1,27.1,8082.47,4,2
45.5,23.9,22.8346,0,0
42.3,0.2,589.469,0,0
40.7,1.9,0.575801,0,0
41.0,-5.8,3143.68,2,1
49.1,15.5,5058.62,4,2
42.7,22.2,478.002,0,0
34.9,25.2,593.469,0,0
67.6,24.5,345.938,0,0
41.7,-4.0,2370.93,2,1
51.1,11.6,4649.55,2,1
67.6,24.6,696.271,0,0
37.1,9.3,168.89,0,0
38.4,-5.7,596.24,0,0
37.6,27.2,3090.29,2,1
37.9,-3.0,3244.04,2,1
61.4,24.9,242.447,0,0
36.5,4.8,55.9988,0,0
57.1,24.8,17739.3,1,4
47.0,23.7,3573.46,2,1
38.7,-1.9,699.708,0,0
42.0,-8.0,2615.66,2,1
51.4,11.0,9577.46,3,3
51.8,10.0,6573.13,4,2
56.8,21.6,3203.65,2,1
52.7,22.9,2067.09,2,1
57.5,10.4,4318.85,2,1
44.6,25.4,16773.8,1,4
52.3,19.8,5789.28,4,2
63.7,19.8,1188.34,0,0
51.4,-2.1,4677.1,2,1
57.6,-4.5,552.568,0,0
55.7,21.5,1519.58,0,0
58.0,24.4,2259.22,2,1
38.2,27.9,10381.3,3,3
43.1,14.4,0.438504,0,0
67.3,29.2,37.566,0,0
45.2,0.2,3612.56,2,1
45.3,24.0,1248.9,0,0
55.0,12.4,252.143,0,0
48.5,-1.1,8831.38,3,3
50.7,24.7,2369.04,2,1
38.3,30.6,6874.32,4,2
47.3,18.4,10444.6,3,3
55.2,21.0,315.059,0,0
37.8,-4.4,4715.9,2,1
50.2,14.7,10354.8,3,3
43.0,-9.0,2290.26,2,1
53.4,27.6,1198.12,0,0
44.4,2.8,2423.59,2,1
41.2,-2.6,783.623,0,0
43.6,17.7,1793.81,0,0
47.7,1.6,11053.3,3,3
46.9,18.6,5416.56,4,2
36.4,24.2,0.393168,0,0
48.7,8.0,14993.4,1,4
47.3,18.6,6988.0,4,2
34.9,30.7,0.371721,0,0
52.6,26.4,151.118,0,0
52.9,14.9,4170.66,2,1
55.8,13.7,3256.61,2,1
65.1,28.0,181.569,0,0
59.5,6.3,339.924,0,0
62.3,6.0,3966.47,2,1
52.4,-2.5,2991.08,2,1
55.1,23.1,1828.14,2,1
59.1,14.7,972.02,0,0
59.2,24.0,926.553,0,0
44.1,6.8,425.663,0,0
