lat,lon,emission
54.7,23.3,2072.87
56.6,31.9,26.2726
61.9,32.8,76.9475
63.6,16.5,110.893
51.5,12.0,74745.0
40.4,-2.9,324.841
48.6,28.6,1763.88
51.2,2.8,3279.83
43.2,-8.7,13674.0
40.0,-8.1,717.081
63.7,10.7,383.097
56.3,36.6,1803.33
53.1,18.9,7269.32
54.1,31.6,571.155
52.8,32.2,355.237
55.7,-4.0,14225.8
43.8,-5.7,0.951394
58.9,35.9,216.594
49.5,4.4,7183.4
47.5,0.2,19369.0
54.9,31.3,308.639
50.0,3.4,12375.2
43.3,-5.6,8382.65
56.3,15.4,1745.58
41.7,15.3,3406.52
53.2,14.1,3070.66
48.7,22.5,2520.15
51.3,20.8,3374.06
41.9,-8.5,3058.25
52.5,15.1,716.667
54.7,15.0,13.5238
40.4,-7.1,1441.65
50.1,24.1,1680.41
42.1,22.9,1082.96
56.9,-5.3,24.5284
45.1,24.3,30105.1
51.0,7.0,259800.0
48.8,17.6,2115.08
47.8,19.1,23798.9
66.0,32.8,12.0578
68.8,35.6,122.164
54.6,18.4,5764.86
45.4,5.1,7878.0
53.4,28.4,1630.61
49.1,28.9,2361.25
48.3,36.1,2187.3
61.4,29.7,11.7404
49.3,20.9,5404.65
51.1,20.4,9816.82
52.1,7.2,11788.3
56.5,39.2,603.435
53.0,22.2,6635.75
40.5,36.5,3649.95
40.1,19.1,1.56575
55.6,8.7,4342.17
60.8,5.9,45.0694
44.5,-0.1,13202.9
50.3,-5.2,6466.81
67.5,26.0,229.481
45.8,23.1,11782.4
56.6,13.1,274.868
46.5,9.2,299.574
58.1,13.9,13743.8
67.5,20.2,76.2275
40.4,-1.5,1006.52
51.1,37.2,1397.87
50.2,31.4,3061.5
43.6,27.4,5987.95
40.0,16.1,6179.84
41.6,24.4,512.728
47.5,-58.9,505.289
59.0,6.5,75.1983
46.2,4.3,11954.4
57.6,13.8,395.573
58.8,25.2,397.335
59.4,8.5,237.728
56.2,15.7,957.958
64.8,19.6,510.509
45.2,10.6,22613.4
53.8,19.6,4904.62
50.9,11.5,19241.4
45.8,4.1,9405.34
63.4,12.5,475.76
53.6,29.9,976.97
53.7,19.1,3406.03
60.4,11.2,2159.06
60.8,36.8,47.3531
63.0,10.4,555.626
59.9,13.9,562.295
61.8,24.3,3065.9
42.9,26.1,1387.96
52.3,-3.7,131.972
65.9,19.2,85.2028
66.6,16.0,221.252
50.9,22.1,13219.6
55.0,33.4,250.094
46.9,-1.6,10367.7
47.6,4.0,2116.18
58.9,39.0,78.6082
57.1,38.7,272.345
45.5,25.7,993.478
63.6,14.2,63.7579
48.3,30.1,1831.07
43.6,12.1,920.358
54.7,36.6,376.799
55.3,35.9,481.339
47.9,19.3,6268.36
57.8,34.4,20.81
63.3,13.3,771.47
63.4,22.7,135.66
48.0,21.2,10329.2
46.0,0.0,3628.69
52.2,13.1,3261.37
46.3,17.4,6210.4
45.9,25.7,2797.89
45.2,-69.0,2374.2
40.5,15.2,5764.42
55.5,29.9,791.181
48.0,31.0,1713.37
45.1,18.6,12204.2
52.4,7.5,7951.42
45.2,11.1,19619.5
40.4,28.9,459.66
49.8,8.9,16301.4
56.8,30.6,94.2457
51.9,18.5,6815.71
47.0,26.9,11276.9
59.3,9.4,422.588
51.8,22.7,2510.1
54.1,34.9,100.844
55.9,29.6,3.38072
60.4,17.5,807.157
50.1,37.3,2609.7
53.8,-8.9,474.556
50.5,16.3,7556.32
50.2,24.1,3193.68
53.4,34.3,767.763
50.4,10.7,4694.06
63.7,14.1,51.8639
44.2,4.9,6597.26
46.1,37.9,0.0745172
56.4,-3.6,3339.8
66.9,14.8,623.858
53.7,-3.1,7075.15
59.0,5.5,963.796
50.4,28.0,2659.66
41.3,25.9,907.146
53.9,30.1,1713.96
53.5,-64.2,277.981
69.9,31.5,0.000274314
43.4,25.0,5344.24
45.2,-61.4,410.862
51.0,3.3,8062.04
46.9,32.2,1641.94
41.0,-8.4,10855.9
53.4,36.7,1076.68
62.1,25.1,1057.44
48.6,13.6,10873.0
48.5,10.9,9224.2
51.1,6.1,12681.9
60.1,16.1,18587.7
64.5,31.6,0.475964
68.1,15.8,690.745
54.2,-6.7,3145.8
55.8,30.1,239.065
49.5,26.6,3626.24
54.9,21.3,43.2571
53.3,-3.4,5138.66
55.5,33.3,171.16
55.0,26.0,1264.76
62.7,21.8,375.645
56.7,-3.6,467.014
65.7,-16.8,9.33042
58.4,39.8,67.6152
43.8,11.6,1672.69
57.0,-3.8,49.3185
